Post Link,title,Body,Tags,Score,AcceptedAnswerId
"15617761","openldap fortress vs Apache Shiro","<p>I am trying to download openldap and I came across an ldap Java JDK called OpenLdap fortress. <a href=""http://www.openldap.org/fortress/"" rel=""nofollow"">http://www.openldap.org/fortress/</a> 
It seems to be good for Identity Management Access, which sounds good, since I was about to use an open source Identity Management Tool (Apache Shiro)
Should I stick with Apache shiro or use just OpenLdap Fortress or both of them?
What is the best solution for Identity and Access Management? What are the differences?</p>
","<authentication><identity><openldap><shiro><fortress>","1","16239175"
"14013809","Shiro redirecting to wrong place when using PrimeFaces with JSF","<p>This web application works with Shiro and JSF. I added PrimeFaces and I am having login redirect issues.</p>

<p>Expected Behaviour:</p>

<ol>
<li>Navigate to url that needs authc</li>
<li>Redirected to login page</li>
<li>login redirected back to the original page</li>
</ol>

<p>Behaviour with primfaces</p>

<ol>
<li>Navigate to url that needs authc</li>
<li>Redirected to login page</li>
<li>after login redirected to javax.faces.resource/theme.css?ln=primefaces-aristo</li>
</ol>

<p>I login a user by catching the request params in my <code>shiro.ini</code> file</p>

<pre><code># name of request parameter with username; if not present filter assumes 'username'
authc.usernameParam = login:username
# name of request parameter with password; if not present filter assumes 'password'
authc.passwordParam = login:password
# does the user wish to be remembered?; if not present filter assumes 'rememberMe'
authc.rememberMeParam = login:remembered
</code></pre>

<p>I modified this to to instead use a <code>PassThruAuthenticationFilter</code> and the login request is processed by my <code>Bean</code> but this still produces the same error. Bean login method</p>

<pre><code>AuthenticationToken token =  new UsernamePasswordToken(username, password);
Subject currentUser = SecurityUtils.getSubject();
currentUser.login(token);
ServletRequest request = (ServletRequest) FacesContext.getCurrentInstance().getExternalContext().getRequest();
ServletResponse response = (ServletResponse) FacesContext.getCurrentInstance().getExternalContext().getResponse();
WebUtils.redirectToSavedRequest(request, response, ""index.xhtml"");
</code></pre>

<p>My login Bean is <code>@RequestScoped</code></p>
","<authentication><redirect><jsf-2><shiro>","1","14085223"
"19835566","setting the session timeout in shiro.ini file is giving warning","<p>i am using shiro1.2.2 and i want to configure session time out in shiro.in file. i configure but it will giving warning and the session timeout is not set. 
the  warning is </p>

<pre><code> WARNING: The 'sessionMode' property has been deprecated.  Please configure an appropriate          WebSessionManager instance instead of using this property.  This property/method will be removed in a later version. 
</code></pre>

<p>my shiro.ini file</p>

<pre><code> sessionManager = org.apache.shiro.web.session.mgt.DefaultWebSessionManager 
 securityManager.sessionMode=native 
 securityManager.sessionManager.globalSessionTimeout = 6000 
 securityManager.sessionManager = $sessionManager 
</code></pre>

<p>i dont know why this giving warning . </p>
","<java><shiro>","0",""
"18378259","Terracotta and shiro","<p>I want to use terracotta + Shiro in order to implement SSO. When I try to test it, I have the error:</p>

<pre><code>    The configuration data in the base configuration from server at 'localhost:9510' does not obey the Terracotta schema:
    [0]: Line 4, column 5: Expected elements 'tc-properties servers clients' instead of 'system' here in element tc-config@http://www.terracotta.org/config
    [1]: Line 16, column 13: Expected elements 'offheap authentication http-authentication data-backup tsa-port jmx-port tsa-group-port security' instead of 'statistics' here in element server
    [2]: Line 19, column 13: Expected elements 'offheap authentication http-authentication data-backup tsa-port jmx-port tsa-group-port security' instead of 'dso-port' here in element server
    [3]: Line 21, column 13: Expected elements 'offheap authentication http-authentication data-backup tsa-port tsa-group-port security' instead of 'l2-group-port' here in element server
    [4]: Line 32, column 13: Expected elements 'offheap http-authentication data-backup tsa-port tsa-group-port security' instead of 'dso' here in element server
    [5]: Line 50, column 9: Expected elements 'server mirror-group update-check garbage-collection restartable client-reconnect-window' instead of 'mirror-groups' here in element servers
    [6]: Line 63, column 9: Expected elements 'server mirror-group update-check garbage-collection restartable client-reconnect-window' instead of 'ha' here in element servers
    [7]: Line 86, column 5: Element not allowed: application in element tc-config@http://www.terracotta.org/config
</code></pre>

<p>Could anyone helps me to find what's wrong?</p>

<p>Here is my configuration:</p>

<p>ehcache.xml on the tc client:</p>

<pre><code>&lt;ehcache  name=""Plugin_Ehcache""
     xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
     xsi:noNamespaceSchemaLocation=""ehcache.xsd""
     updateCheck=""false"" monitoring=""autodetect""
     dynamicConfig=""false""&gt;

&lt;diskStore path=""java.io.tmpdir/shiro-ehcache""/&gt;

&lt;defaultCache
        maxElementsInMemory=""10000""
        eternal=""false""
        timeToIdleSeconds=""120""
        timeToLiveSeconds=""120""
        overflowToDisk=""false""
        diskPersistent=""false""
        diskExpiryThreadIntervalSeconds=""120""&gt;
    &lt;terracotta/&gt;
&lt;/defaultCache&gt;
&lt;cache name=""shiro-activeSessionCache""
       maxElementsInMemory=""10000""
       eternal=""true""
       timeToLiveSeconds=""0""
       timeToIdleSeconds=""0""
       diskPersistent=""false""
       overflowToDisk=""false""
       diskExpiryThreadIntervalSeconds=""600""&gt;
    &lt;terracotta/&gt;
&lt;/cache&gt;    

&lt;terracottaConfig url=""localhost:9510""/&gt;     
&lt;/ehcache&gt; 
</code></pre>

<p>tc-config.xml on the tc server</p>

<pre><code>&lt;tc:tc-config xsi:schemaLocation=""http://www.terracotta.org/schema/terracotta-8.xsd"" 
          xmlns:tc=""http://www.terracotta.org/config"" 
          xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""&gt;

&lt;tc-properties&gt;
&lt;property name=""l2.l1reconnect.enabled"" value=""true""/&gt;
&lt;property name=""l2.l1reconnect.timeout.millis"" value=""5000""/&gt;
&lt;property name=""sigar.enabled"" value=""false""/&gt;
&lt;property name=""search.use.commit.thread"" value=""false""/&gt;
&lt;property name=""search.lucene.use.ram.directory"" value=""true""/&gt;
&lt;property name=""search.query.wait.for.txns"" value=""false""/&gt;
&lt;property name=""logging.maxLogFileSize"" value=""100""/&gt;
&lt;property name=""logging.maxBackups"" value=""10""/&gt;
&lt;/tc-properties&gt;

&lt;system&gt;
 &lt;configuration-model&gt;development&lt;/configuration-model&gt;
&lt;/system&gt; 

  &lt;servers&gt;
    &lt;server host=""localhost"" name=""Terracotta Server1""&gt;
      &lt;!-- Specify the path where the server should store its data. --&gt;
            &lt;data&gt;C:\Program Files\Terracotta\terracotta-3.7.5\server\server-data&lt;/data&gt;
            &lt;logs&gt;C:\Program Files\Terracotta\terracotta-3.7.5\server\server-logs&lt;/logs&gt;
            &lt;index&gt;C:\Program Files\Terracotta\terracotta-3.7.5\server\server-index&lt;/index&gt;
            &lt;statistics&gt;C:\Program Files\Terracotta\terracotta-3.7.5\server\server-statistics&lt;/statistics&gt;

       &lt;!-- Specify the port where the server should listen for client 
       traffic. --&gt;
         &lt;dso-port bind=""127.0.0.1""&gt;9510&lt;/dso-port&gt;
         &lt;jmx-port  bind=""127.0.0.1""&gt;9520&lt;/jmx-port&gt;
          &lt;l2-group-port bind=""localhost""&gt;9530&lt;/l2-group-port&gt;
          &lt;!--jmx-port bind=""xxx.xxx.xxx.xxx""&gt;9520&lt;/jmx-port&gt;
       &lt;tsa-port&gt;9510&lt;/tsa-port&gt;

       &lt;tsa-group-port&gt;9530&lt;/tsa-group-port--&gt;
       &lt;!-- Enable BigMemory on the server. --&gt;
       &lt;!--offheap&gt;
         &lt;enabled&gt;true&lt;/enabled&gt;
         &lt;maxDataSize&gt;4g&lt;/maxDataSize&gt;
       &lt;/offheap--&gt;

     &lt;authentication/&gt; 

       &lt;dso&gt;
    &lt;client-reconnect-window&gt;120&lt;/client-reconnect-window&gt;
    &lt;persistence&gt;
      &lt;mode&gt;permanent-store&lt;/mode&gt;
           &lt;!--mode&gt;temporary-swap-only&lt;/mode--&gt;
            &lt;!--&lt;offheap&gt;
        &lt;enabled&gt;false&lt;/enabled&gt;
        &lt;maxDataSize&gt;450m&lt;/maxDataSize&gt;
      &lt;/offheap&gt;--&gt;
    &lt;/persistence&gt;
    &lt;garbage-collection&gt;
      &lt;enabled&gt;true&lt;/enabled&gt;
      &lt;verbose&gt;false&lt;/verbose&gt;
      &lt;interval&gt;300&lt;/interval&gt;
    &lt;/garbage-collection&gt;
  &lt;/dso&gt;

     &lt;/server&gt;

      &lt;mirror-groups&gt;
   &lt;mirror-group group-name=""group1""&gt;
     &lt;members&gt;
       &lt;member&gt;Terracotta Server1&lt;/member&gt;
     &lt;/members&gt;
     &lt;ha&gt;
       &lt;mode&gt;networked-active-passive&lt;/mode&gt;
       &lt;networked-active-passive&gt;
         &lt;election-time&gt;5&lt;/election-time&gt;
       &lt;/networked-active-passive&gt;
     &lt;/ha&gt;
    &lt;/mirror-group&gt;
 &lt;/mirror-groups&gt;     
 &lt;ha&gt;
   &lt;mode&gt;networked-active-passive&lt;/mode&gt;
   &lt;networked-active-passive&gt;
     &lt;election-time&gt;5&lt;/election-time&gt;
   &lt;/networked-active-passive&gt;
 &lt;/ha&gt;

      &lt;update-check&gt;
  &lt;enabled&gt;false&lt;/enabled&gt;
&lt;/update-check&gt;

    &lt;!-- Add the restartable element for Fast Restartability (optional). --&gt;
    &lt;!--restartable enabled=""true""/--&gt;
  &lt;/servers&gt;
  &lt;clients&gt;
    &lt;logs&gt;logs-%i&lt;/logs&gt;
  &lt;/clients&gt;
&lt;/tc:tc-config&gt;
</code></pre>
","<shiro><terracotta>","0",""
"10969710","<shiro:hasRole ..> Tag does not work cause NoSuchMethodException Exception","<p>can you please provide me a solution for my problem, </p>

<p>I have an integration with Apache Shiro and once i use shiro:hasRole tag or other tags an exception has been thrown says:</p>

<pre><code>Caused by: java.lang.NoSuchMethodException: org.apache.shiro.web.tags.HasRoleTag.&lt;init&gt;(javax.faces.view.facelets.TagConfig)
    at java.lang.Class.getConstructor0(Class.java:2706)
    at java.lang.Class.getConstructor(Class.java:1657)
    at com.sun.faces.facelets.tag.AbstractTagLibrary$HandlerFactory.createHandler(AbstractTagLibrary.java:187)
    at com.sun.faces.facelets.tag.AbstractTagLibrary.createTagHandler(AbstractTagLibrary.java:678)
    at com.sun.faces.facelets.tag.CompositeTagLibrary.createTagHandler(CompositeTagLibrary.java:184)
    at com.sun.faces.facelets.compiler.TagUnit.createFaceletHandler(TagUnit.java:120)
    at com.sun.faces.facelets.compiler.TextUnit.createFaceletHandler(TextUnit.java:117)
    at com.sun.faces.facelets.compiler.CompilationUnit.getNextFaceletHandler(CompilationUnit.java:115)
    at com.sun.faces.facelets.compiler.TagUnit.getNextHandler(TagUnit.java:124)
    at com.sun.faces.facelets.tag.AbstractTagLibrary$ComponentConfigWrapper.getNextHandler(AbstractTagLibrary.java:230)
    at javax.faces.view.facelets.TagHandler.&lt;init&gt;(TagHandler.java:116)
    at javax.faces.view.facelets.MetaTagHandler.&lt;init&gt;(MetaTagHandler.java:105)
    at javax.faces.view.facelets.DelegatingMetaTagHandler.&lt;init&gt;(DelegatingMetaTagHandler.java:69)
    at javax.faces.view.facelets.ComponentHandler.&lt;init&gt;(ComponentHandler.java:128)
    at com.sun.faces.facelets.tag.jsf.html.HtmlComponentHandler.&lt;init&gt;(HtmlComponentHandler.java:75)
    at sun.reflect.GeneratedConstructorAccessor19.newInstance(Unknown Source)
    at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
    at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
    at com.sun.faces.facelets.tag.AbstractTagLibrary$UserComponentHandlerFactory.createHandler(AbstractTagLibrary.java:306)
    at com.sun.faces.facelets.tag.AbstractTagLibrary.createTagHandler(AbstractTagLibrary.java:678)
    at com.sun.faces.facelets.tag.CompositeTagLibrary.createTagHandler(CompositeTagLibrary.java:184)
    at com.sun.faces.facelets.compiler.TagUnit.createFaceletHandler(TagUnit.java:120)
    at com.sun.faces.facelets.compiler.TextUnit.createFaceletHandler(TextUnit.java:117)
    at com.sun.faces.facelets.compiler.CompilationUnit.getNextFaceletHandler(CompilationUnit.java:115)
    at com.sun.faces.facelets.compiler.TagUnit.getNextHandler(TagUnit.java:124)
    at com.sun.faces.facelets.tag.AbstractTagLibrary$ComponentConfigWrapper.getNextHandler(AbstractTagLibrary.java:230)
    at javax.faces.view.facelets.TagHandler.&lt;init&gt;(TagHandler.java:116)
    at javax.faces.view.facelets.MetaTagHandler.&lt;init&gt;(MetaTagHandler.java:105)
    at javax.faces.view.facelets.DelegatingMetaTagHandler.&lt;init&gt;(DelegatingMetaTagHandler.java:69)
    at javax.faces.view.facelets.ComponentHandler.&lt;init&gt;(ComponentHandler.java:128)
    at com.sun.faces.facelets.tag.jsf.html.HtmlComponentHandler.&lt;init&gt;(HtmlComponentHandler.java:75)
    at sun.reflect.GeneratedConstructorAccessor19.newInstance(Unknown Source)
    at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
    at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
    at com.sun.faces.facelets.tag.AbstractTagLibrary$UserComponentHandlerFactory.createHandler(AbstractTagLibrary.java:306)
</code></pre>

<p>Notice that i have a correct shiro configuration whereby the shiro security is applied and the resources are protected where the user must be authenticated and authorized to access the application resources.</p>

<p>But once i try to involve shiro security tags the exception is seen.</p>

<p>I open the shiro java tags such as HasRoleTag and really there is no constructor takes an instance of <code>javax.faces.view.facelets.TagConfig</code>
as parameter ! </p>

<p>Can you please help me to solve the problem.</p>

<p>Thanks.</p>
","<jsf-2><tags><shiro>","1",""
"12005189","SSO Integration between a custom Java web app with Drupal using Apache Shiro","<p>I have a web application developed using Java (Java EE), spring &amp; Hibernate. We are planning to use Apache Shiro for role &amp; access management. One of our client requirement is to use some CMS functionality along with the web application, for which Drupal has been selected. Since all the users are created in the Java based web application we would like to enable Single Sign on between the Java web app and Drupal.</p>

<p>With the SSO enabled users of the web application should be able to access the pages (static content, blog etc.) created in Drupal.</p>
","<drupal><single-sign-on><shiro>","0","12006464"
"29018542","Web application Apache Shiro integration","<p>I'm trying to understand the Apache Shiro workflow and how to integrate it into my application. What I can't understand is how and where do I perform the login and then send the redirect? Or does Shiro do this automatically (because I specified the realm in the ini file)? Can I send custom information (user attributes) along with the redirect (via Servlet response rather than backing bean)?</p>

<p><strong>What I understand and have so far:</strong> </p>

<p>Add the Shiro Listener and Filter to the web.xml file so it can respond to requests:</p>

<pre><code>&lt;listener&gt;
    &lt;listener-class&gt;org.apache.shiro.web.env.EnvironmentLoaderListener&lt;/listener-class&gt;
&lt;/listener&gt;

&lt;filter&gt;
    &lt;filter-name&gt;ShiroFilter&lt;/filter-name&gt;
    &lt;filter-class&gt;org.apache.shiro.web.servlet.ShiroFilter&lt;/filter-class&gt;
&lt;/filter&gt;

&lt;filter-mapping&gt;
    &lt;filter-name&gt;ShiroFilter&lt;/filter-name&gt;
    &lt;url-pattern&gt;/*&lt;/url-pattern&gt;
    &lt;dispatcher&gt;REQUEST&lt;/dispatcher&gt;
    &lt;dispatcher&gt;FORWARD&lt;/dispatcher&gt;
    &lt;dispatcher&gt;INCLUDE&lt;/dispatcher&gt;
    &lt;dispatcher&gt;ERROR&lt;/dispatcher&gt;
&lt;/filter-mapping&gt;
</code></pre>

<p>Create a shiro.ini file where you can configure some attributes for Shiro:</p>

<pre><code>[main]
shiro.loginURL = /login.xhtml
myRealm = com.example.shiro.MyRealm
securityManager.realms = $myRealm

[urls]
/account/** = authc
/logout = logout
</code></pre>

<p>Create the custom realm class:</p>

<pre><code>@Stateless
@Local(Realm.class)
public class SecurityBean implements Realm{
    private EntityManager em;
    private TypedQuery&lt;Credential&gt; cQuery;

    @Override
    public Account getAuthenticationInfo(AuthenticationToken token) throws AuthenticationException {
        try{
            cQuery = em.createNamedQuery(""getCredentials"", Credential.class);
            cQuery.setParameter(""userName"", ((UsernamePasswordToken) token).getUsername());
            Credential c = cQuery.getSingleResult();
            boolean b = Encryption.compare(new String(((UsernamePasswordToken) token).getPassword()), c.getSalt(), c.getEncryptedPassword());
            if(b){
                return c;
            }else{
                throw new AuthenticationException(""Passwords do not match."");
            }
        }catch(Exception e){
            throw new AuthenticationException(""Error verifying credentials."");
        }
    }

    @Override
    public String getName() {
        return ""User Realm"";
    }

    @Override
    public boolean supports(AuthenticationToken token) {
        if(token instanceof UsernamePasswordToken){
            return true;
        }else{
            return false;
        }
    }
}
</code></pre>

<p>Where Encryption is a class to encrypt and compare passwords and Credential is a JPA Entity class to store the username and password:</p>

<pre><code>@NamedQueries({@NamedQuery(name = ""getCredentials"", query = ""SELECT c FROM Credential c WHERE c.userName = :userName""),
            @NamedQuery(name = ""deleteCredentials"", query = ""DELETE FROM Credential c WHERE c.userName = :userName"")})
@Entity
public class Credential implements Serializable, Account{
    private static final long serialVersionUID = 2555682746921997545L;

    @Id @GeneratedValue
    private long id;

    private String userName;

    private String encryptedPassword;
    private String salt;

    private User user;

    //... getters/setters...
}
</code></pre>

<p>Where User is a JPA Entity class that actual stores a user's application information.</p>
","<java><security><jpa><shiro>","0","29125474"
"21711984","Apache Shiro - Keep remember me cookie when logging out?","<p>I'm helping to maintain an app that uses Apache Shiro.</p>

<p>We want our users to be able to logout, but keep their ""remember me"" cookie, but apparently this isn't supported by Shiro (scroll to bottom of page):</p>

<p><a href=""https://shiro.apache.org/java-authentication-guide.html"" rel=""nofollow"">https://shiro.apache.org/java-authentication-guide.html</a></p>

<blockquote>
  <p>When you log out in Shiro it will close out the user session and
  removes any associated identity from the subject instance. If you're
  using RememberMe in a web environment, then .logout() will, by
  default, also delete the RememberMe cookie from the browser.</p>
</blockquote>

<p>What's the best way to achieve this goal?</p>
","<apache><shiro><remember-me>","1","21917511"
"27539334","Cannot find class [org.apache.shiro.spring.LifecycleBeanPostProcessor]","<p>shiro+freemarker</p>

<pre><code>Cannot find class [org.apache.shiro.spring.LifecycleBeanPostProcessor] for bean with name 'lifecycleBeanPostProcessor' defined in class path resource [applicationContext.xml]





2014-12-18 12:30:19 org.apache.catalina.core.ApplicationContext log
严重: StandardWrapper.Throwable
org.springframework.beans.factory.CannotLoadBeanClassException: Cannot find class [org.apache.shiro.spring.LifecycleBeanPostProcessor] for bean with name 'lifecycleBeanPostProcessor' defined in class path resource [applicationContext.xml]; nested exception is java.lang.ClassNotFoundException: org.apache.shiro.spring.LifecycleBeanPostProcessor
    at org.springframework.beans.factory.support.AbstractBeanFactory.resolveBeanClass(AbstractBeanFactory.java:1278)
    at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:435)
    at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:293)
    at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:223)
    at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:290)
    at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:191)
    at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:283)
    at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:195)
    at org.springframework.context.support.AbstractApplicationContext.registerBeanPostProcessors(AbstractApplicationContext.java:743)
    at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:464)
    at org.springframework.web.servlet.FrameworkServlet.configureAndRefreshWebApplicationContext(FrameworkServlet.java:651)
    at org.springframework.web.servlet.FrameworkServlet.createWebApplicationContext(FrameworkServlet.java:602)
    at org.springframework.web.servlet.FrameworkServlet.createWebApplicationContext(FrameworkServlet.java:665)
    at org.springframework.web.servlet.FrameworkServlet.initWebApplicationContext(FrameworkServlet.java:521)
    at org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:462)
    at org.springframework.web.servlet.HttpServletBean.init(HttpServletBean.java:136)
    at javax.servlet.GenericServlet.init(GenericServlet.java:160)
    at org.apache.catalina.core.StandardWrapper.initServlet(StandardWrapper.java:1280)
    at org.apache.catalina.core.StandardWrapper.loadServlet(StandardWrapper.java:1193)
    at org.apache.catalina.core.StandardWrapper.load(StandardWrapper.java:1088)
    at org.apache.catalina.core.StandardContext.loadOnStartup(StandardContext.java:5176)
    at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5460)
    at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
    at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1559)
    at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1549)
    at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)
    at java.util.concurrent.FutureTask.run(FutureTask.java:138)
    at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
    at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
    at java.lang.Thread.run(Thread.java:662)
Caused by: java.lang.ClassNotFoundException: org.apache.shiro.spring.LifecycleBeanPostProcessor
    at org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1702)
    at org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1547)
    at org.springframework.util.ClassUtils.forName(ClassUtils.java:265)
    at org.springframework.beans.factory.support.AbstractBeanDefinition.resolveBeanClass(AbstractBeanDefinition.java:419)
    at org.springframework.beans.factory.support.AbstractBeanFactory.doResolveBeanClass(AbstractBeanFactory.java:1299)
    at org.springframework.beans.factory.support.AbstractBeanFactory.resolveBeanClass(AbstractBeanFactory.java:1270)
    ... 29 more
</code></pre>
","<java><spring-mvc><shiro>","0","27539370"
"17806206","Shiro Eh Cache ConcurrenctModificationException","<p>I recently added Shiro with EH Cache to my webapp and since then I am seeing a few ConcurrentModificationException:</p>

<pre><code>[shiro-active%0053ession%0043ache.data] ERROR net.sf.ehcache.store.disk.DiskStorageFactory - Disk Write of 3ae3f634-cd97-4614-bd04-517d81623971 failed: 
net.sf.ehcache.CacheException: Failed to serialize element due to ConcurrentModificationException. This is frequently the result of inappropriately sharing thread unsafe object (eg. ArrayList, HashMap, etc) between threads
at net.sf.ehcache.store.disk.DiskStorageFactory.serializeElement(DiskStorageFactory.java:401)
at net.sf.ehcache.store.disk.DiskStorageFactory.write(DiskStorageFactory.java:381)
at net.sf.ehcache.store.disk.DiskStorageFactory$DiskWriteTask.call(DiskStorageFactory.java:473)
at net.sf.ehcache.store.disk.DiskStorageFactory$PersistentDiskWriteTask.call(DiskStorageFactory.java:1067)
at net.sf.ehcache.store.disk.DiskStorageFactory$PersistentDiskWriteTask.call(DiskStorageFactory.java:1051)
at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:334)
at java.util.concurrent.FutureTask.run(FutureTask.java:166)
</code></pre>

<p>The issue I have is that the stack trace is not giving much information about where the issue is in the code and as the webapp is pretty big.</p>

<p>Any tips on how to find and fix the error would be much appreciated.</p>

<p>EDIT: the problem seems to occur when the user goes from the ROOT module 'www.my-site.com/' to the app module 'www.my-site.com/app/'. Both modules are running Shiro on a different cache/session (i.e. no SSO yet) the only thing they share are 3 cookies: locale/currency/cookie-consent.
I don't think it comes from the cookies as they are accessed at the beginning of the request (i.e. when leaving the ROOT to get to the app only the app accesses the cookies and saves the locale in the session).</p>

<p>Any idea of what might be causing the issue? </p>

<p>---------------EDIT --------
Here is a more detailed stack trace. Shiro's simple session seems to be playing a role: </p>

<pre><code>Caused by: java.util.ConcurrentModificationException
at java.util.HashMap$HashIterator.nextEntry(HashMap.java:806)
at java.util.HashMap$EntryIterator.next(HashMap.java:847)
at java.util.HashMap$EntryIterator.next(HashMap.java:845)
at java.util.HashMap.writeObject(HashMap.java:1012)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:601)
at java.io.ObjectStreamClass.invokeWriteObject(ObjectStreamClass.java:962)
at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:1480)
at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.java:1416)
at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1174)
at java.io.ObjectOutputStream.writeObject(ObjectOutputStream.java:346)
at org.apache.shiro.session.mgt.SimpleSession.writeObject(SimpleSession.java:461)
</code></pre>

<p>-------------EDIT 2 ------------------</p>

<p>I think I found the origin of the problem. I have a method that stores a few String attributes in the session. The app works fine without it and the issue comes back as soon as I uncomment it.
What I don't understand is why this is causing a concurrent modification exception: this method is only saving Strings in the session, and there is only one thread accessing the session.  Any clues?</p>

<p>-----------EDIT 3 -------------------</p>

<p>I replaced the Strings by 4 POJOs. Now the exception only occur once when the user first lands on a page (right before starting executing the doGet(...) code. </p>

<p>This doesn't seem to create any working issues so I'll probably just ignore it for now. If anybody understands what's happening please give me a shout.</p>
","<java-ee><web-applications><ehcache><shiro><concurrentmodification>","0",""
"17672241","Remember user session for several weeks?","<p>If i remember correctly, public services like google usually offer the ability to avoid the login process for 2 weeks.</p>

<p>This way, even with the tab closed, browser or even OS restart, the user can still access the web page as the subject without having to re-login.</p>

<p>The questions are :</p>

<ol>
<li>To implement this in Apache Shiro, it's just about the session timeout isnt it, something like <strong>globalSessionTimeout</strong> ? This way the session is stored and kept alive for 2 weeks before timeout-ing by itself out of inactivities.</li>
<li>This is --<strong>not</strong>-- the same as the ""<em>Remember Me</em>"" feature of Shiro where the <em>authenticated</em> and <em>remembered</em> are differentiated, correct ?</li>
</ol>
","<shiro>","1","17729520"
"4415488","how to detect whether a uri is allow by shiro or extract controller name from uri","<p>i have a uri such as someController/someAction?param1=aa&amp;param2=bb</p>

<p>is there some method of grails can extract controller name and action name from this uri.</p>

<p>or shiro has any method to detect this uri is permitted?</p>

<hr>

<p>i have a domain Menu(name,url), and now want to get the menu list which is permitted for current user.</p>

<p>url such as /auth/login(may be mapping as user:login), /user/login</p>

<p>so 2 days ago i ask this question.</p>

<p>now i change the menu to (name,controller,action,param),and filter the menulist like this:</p>

<pre><code>def subject = SecurityUtils.subject;
menuList.each{
  if(it.permission){
     def perm = shiroPermissionResolver.resolvePermission(""${it.permission.controller}:${it.permission.action}"")
     def isPermitted = subject.isPermitted(perm)
     println ""$isPermitted -&gt; ${it.permission.controller}:${it.permission.action}""
  }
}
</code></pre>

<hr>

<p>sorry for my poor english,and thanks for reply.</p>

<p>btw,here is another question of how to cache shiro:
<a href=""https://stackoverflow.com/questions/4425283/how-to-use-cache-permissions-in-grails-shiro"">how to use cache permissions in grails shiro</a></p>

<hr>

<p>To proflux:
so what do u think is the better way to store menulist? 
cause:</p>

<ol>
<li>it need to show different menu to user due to their permissions.</li>
<li>sometime we update a webapp, but want to show menu to user later.
so we only need to change such as a menu.visible. (better than change    hard code cfg or source).</li>
<li>we areusing extjs to show the menu(so nav plugin cant use).</li>
</ol>
","<grails><shiro><url-mapping>","1",""
